"[61, 70, 59, 47, 60, 83, 46, 66, 0, 29, 52, 31, 81, 74, 2, 82, 9, 56, 0, 53, 49, 58, 39, 23, 77, 0, 30, 91, 28, 33, 84, 37, 0, 54, 25, 3, 64, 88, 93, 63, 0, 98, 86, 62, 13, 6, 5, 0, 76, 14, 24, 89, 40, 73, 65, 0, 22, 97, 48, 99, 42, 0, 75, 78, 71, 45, 95, 0, 8, 50, 100, 51, 57, 0, 67, 85, 68, 92, 15, 38, 36, 0, 10, 1, 11, 96, 69, 94, 55, 0, 12, 19, 72, 17, 27, 32, 43, 0, 26, 90, 35, 0, 21, 87, 80, 44, 0, 18, 41, 20, 0, 7, 16, 4, 0, 34, 79, 0, 0, 0, 0, 0]"
"[69, 44, 63, 96, 8, 35, 55, 0, 27, 80, 92, 40, 97, 71, 88, 0, 74, 82, 34, 99, 56, 81, 78, 95, 9, 0, 89, 43, 1, 93, 36, 0, 72, 33, 48, 52, 11, 58, 0, 90, 76, 3, 51, 38, 94, 0, 23, 60, 13, 5, 68, 37, 0, 79, 59, 67, 41, 39, 66, 0, 2, 20, 25, 16, 86, 0, 32, 19, 64, 7, 0, 91, 21, 54, 28, 0, 24, 57, 53, 50, 84, 0, 42, 4, 73, 98, 61, 14, 0, 45, 62, 22, 49, 70, 0, 85, 83, 12, 0, 15, 77, 29, 6, 46, 0, 18, 100, 75, 10, 0, 47, 30, 0, 17, 87, 31, 65, 0, 26, 0, 0, 0]"
"[9, 57, 92, 62, 61, 39, 44, 76, 0, 83, 52, 82, 17, 23, 2, 0, 90, 31, 73, 30, 29, 70, 0, 64, 74, 32, 72, 69, 78, 46, 88, 0, 22, 4, 93, 66, 89, 0, 53, 21, 5, 80, 34, 28, 79, 0, 10, 18, 50, 55, 97, 20, 59, 56, 60, 0, 71, 42, 1, 12, 77, 51, 0, 14, 33, 43, 58, 16, 95, 25, 0, 91, 8, 68, 41, 27, 40, 0, 7, 96, 37, 85, 100, 0, 26, 3, 6, 24, 48, 87, 0, 19, 81, 67, 47, 11, 0, 45, 86, 63, 99, 0, 75, 38, 0, 54, 84, 36, 49, 0, 15, 65, 35, 0, 94, 0, 98, 0, 13, 0, 0, 0]"
"[68, 47, 90, 72, 45, 46, 63, 41, 0, 8, 32, 62, 18, 60, 76, 99, 0, 5, 97, 81, 3, 83, 92, 53, 0, 10, 6, 51, 9, 79, 4, 34, 0, 91, 84, 44, 66, 0, 11, 85, 69, 89, 40, 29, 0, 17, 23, 82, 26, 96, 38, 0, 52, 49, 94, 61, 73, 36, 0, 100, 33, 15, 77, 55, 0, 24, 64, 20, 28, 0, 98, 16, 65, 19, 13, 70, 0, 21, 74, 14, 39, 93, 7, 75, 0, 42, 35, 80, 12, 86, 2, 78, 0, 58, 57, 54, 43, 48, 0, 1, 22, 67, 25, 0, 59, 50, 88, 56, 0, 95, 31, 27, 37, 0, 30, 71, 0, 87, 0, 0, 0, 0]"
"[96, 40, 26, 73, 91, 12, 87, 64, 0, 7, 5, 17, 57, 3, 85, 0, 16, 86, 41, 100, 78, 89, 0, 84, 58, 19, 22, 21, 61, 11, 59, 0, 20, 14, 67, 51, 6, 71, 72, 99, 65, 0, 24, 43, 13, 46, 53, 0, 48, 37, 36, 0, 4, 28, 27, 52, 97, 29, 50, 0, 68, 39, 76, 82, 44, 18, 45, 70, 0, 34, 56, 8, 80, 77, 15, 74, 0, 93, 25, 38, 94, 83, 95, 0, 90, 62, 81, 88, 0, 1, 33, 10, 47, 9, 31, 0, 49, 30, 32, 54, 0, 98, 2, 0, 69, 66, 75, 0, 23, 0, 35, 55, 0, 42, 92, 0, 63, 0, 60, 79, 0, 0]"
"[50, 77, 91, 43, 64, 25, 65, 38, 0, 26, 89, 93, 13, 52, 7, 0, 94, 86, 80, 73, 67, 17, 0, 75, 88, 85, 4, 48, 59, 78, 72, 0, 15, 62, 97, 37, 30, 31, 0, 92, 76, 28, 14, 18, 0, 46, 61, 22, 100, 2, 0, 96, 99, 60, 9, 90, 24, 39, 55, 3, 11, 0, 70, 63, 95, 79, 44, 16, 35, 34, 0, 20, 51, 23, 40, 54, 6, 0, 49, 87, 12, 57, 81, 0, 84, 82, 1, 98, 45, 27, 58, 68, 0, 36, 21, 33, 66, 0, 69, 19, 32, 8, 56, 0, 5, 74, 29, 47, 0, 41, 10, 0, 83, 42, 53, 0, 71, 0, 0, 0, 0, 0]"
"[40, 7, 84, 25, 37, 2, 93, 83, 15, 0, 28, 56, 100, 58, 6, 71, 4, 24, 64, 0, 96, 82, 1, 54, 0, 57, 59, 90, 34, 48, 14, 5, 31, 0, 94, 92, 35, 19, 36, 30, 18, 0, 22, 70, 55, 81, 50, 13, 3, 63, 26, 0, 61, 44, 51, 74, 16, 69, 8, 0, 33, 12, 20, 67, 76, 0, 10, 77, 68, 29, 46, 21, 66, 0, 11, 65, 73, 86, 43, 89, 0, 95, 45, 47, 0, 75, 38, 88, 41, 97, 0, 9, 91, 80, 49, 87, 0, 39, 99, 62, 0, 23, 98, 72, 42, 78, 32, 0, 53, 52, 17, 60, 85, 0, 79, 27, 0, 0, 0, 0, 0, 0]"
"[95, 32, 19, 41, 40, 98, 65, 0, 75, 35, 51, 5, 43, 49, 52, 0, 66, 83, 70, 21, 88, 12, 37, 58, 0, 94, 4, 92, 47, 50, 25, 46, 0, 14, 100, 60, 38, 72, 22, 30, 0, 23, 10, 1, 61, 68, 0, 62, 84, 78, 71, 9, 34, 42, 59, 0, 79, 55, 29, 17, 26, 77, 0, 86, 80, 24, 90, 2, 0, 20, 91, 57, 31, 45, 76, 56, 18, 0, 33, 54, 7, 87, 0, 64, 89, 6, 82, 48, 3, 0, 96, 39, 67, 11, 0, 44, 28, 74, 81, 53, 8, 0, 85, 99, 63, 15, 16, 0, 97, 69, 0, 93, 13, 0, 27, 36, 0, 73, 0, 0, 0, 0]"
"[71, 67, 69, 40, 37, 88, 90, 32, 0, 12, 64, 86, 93, 14, 83, 50, 47, 0, 76, 21, 66, 18, 0, 28, 24, 23, 84, 43, 0, 58, 61, 34, 51, 8, 96, 0, 54, 1, 16, 98, 20, 52, 55, 0, 62, 77, 19, 75, 30, 13, 4, 17, 0, 81, 60, 97, 46, 80, 27, 0, 38, 48, 25, 26, 35, 5, 0, 33, 74, 6, 94, 78, 82, 0, 41, 56, 87, 89, 68, 0, 99, 59, 45, 91, 9, 44, 36, 0, 65, 70, 49, 11, 100, 53, 3, 0, 95, 73, 92, 63, 2, 0, 22, 15, 85, 10, 0, 39, 72, 7, 31, 0, 79, 42, 0, 29, 57, 0, 0, 0, 0, 0]"
"[18, 92, 44, 98, 56, 93, 57, 0, 94, 87, 39, 43, 42, 31, 48, 51, 0, 24, 33, 75, 61, 41, 8, 96, 0, 13, 1, 19, 76, 26, 60, 7, 85, 0, 22, 99, 88, 36, 83, 95, 0, 34, 73, 55, 35, 30, 6, 0, 77, 16, 64, 90, 81, 46, 49, 0, 20, 11, 52, 40, 70, 0, 68, 82, 84, 27, 63, 66, 38, 0, 9, 37, 17, 54, 0, 58, 69, 74, 97, 32, 0, 23, 53, 86, 67, 15, 0, 59, 50, 4, 65, 47, 0, 5, 71, 29, 28, 0, 25, 12, 10, 0, 100, 62, 45, 89, 21, 0, 72, 3, 0, 78, 91, 79, 0, 14, 2, 0, 80, 0, 0, 0]"
