"[33, 30, 32, 28, 1, 2, 0, 26, 19, 45, 20, 8, 7, 0, 17, 24, 14, 47, 38, 6, 31, 0, 9, 25, 41, 23, 39, 44, 3, 0, 4, 50, 29, 42, 27, 0, 40, 49, 34, 43, 0, 36, 16, 21, 18, 0, 10, 48, 0, 5, 22, 11, 37, 12, 13, 0, 15, 35, 0, 46, 0, 0, 0, 0, 0]"
"[1, 10, 24, 38, 15, 0, 26, 2, 42, 12, 23, 5, 0, 7, 37, 30, 11, 0, 8, 45, 28, 16, 0, 35, 48, 31, 36, 6, 49, 0, 32, 47, 25, 14, 0, 27, 50, 19, 0, 34, 41, 9, 0, 22, 40, 33, 0, 29, 20, 21, 39, 0, 46, 3, 43, 4, 17, 0, 44, 0, 13, 0, 18, 0, 0]"
"[40, 1, 12, 20, 4, 49, 8, 0, 19, 33, 50, 6, 47, 0, 3, 18, 21, 43, 29, 44, 15, 0, 45, 35, 13, 48, 38, 0, 39, 36, 34, 27, 26, 0, 32, 16, 11, 46, 0, 30, 2, 37, 23, 41, 0, 28, 22, 10, 0, 7, 25, 24, 31, 5, 0, 9, 42, 14, 17, 0, 0, 0, 0, 0, 0]"
"[19, 1, 15, 40, 28, 0, 34, 17, 45, 18, 6, 16, 0, 42, 4, 8, 31, 20, 0, 5, 2, 48, 13, 0, 14, 23, 44, 22, 33, 24, 0, 38, 9, 7, 41, 0, 50, 30, 12, 32, 26, 0, 37, 21, 43, 0, 46, 3, 10, 25, 11, 0, 49, 36, 47, 35, 0, 27, 39, 29, 0, 0, 0, 0, 0]"
"[4, 10, 14, 33, 40, 49, 0, 25, 46, 20, 23, 26, 47, 36, 0, 8, 5, 32, 29, 18, 0, 39, 13, 1, 21, 48, 0, 30, 7, 11, 35, 19, 0, 42, 34, 12, 45, 31, 0, 6, 38, 9, 37, 15, 0, 16, 3, 43, 0, 17, 27, 24, 0, 50, 22, 44, 0, 28, 41, 2, 0, 0, 0, 0, 0]"
"[28, 34, 24, 33, 30, 5, 0, 19, 7, 32, 12, 21, 0, 26, 2, 22, 49, 13, 0, 47, 37, 17, 27, 18, 1, 42, 25, 0, 11, 15, 50, 48, 0, 29, 46, 0, 4, 3, 9, 45, 0, 43, 38, 8, 14, 10, 23, 0, 6, 44, 39, 36, 40, 31, 0, 20, 35, 41, 0, 16, 0, 0, 0, 0, 0]"
"[19, 46, 25, 27, 18, 44, 10, 0, 50, 39, 38, 49, 0, 3, 26, 13, 28, 30, 47, 0, 24, 34, 40, 17, 0, 31, 45, 8, 32, 7, 21, 0, 41, 11, 12, 35, 0, 16, 29, 0, 1, 20, 37, 36, 0, 4, 48, 15, 23, 2, 5, 0, 14, 33, 43, 42, 0, 9, 6, 22, 0, 0, 0, 0, 0]"
"[20, 11, 16, 29, 0, 36, 2, 32, 46, 24, 13, 0, 19, 48, 25, 30, 41, 21, 34, 0, 37, 42, 8, 39, 15, 49, 0, 27, 23, 1, 47, 17, 6, 0, 4, 28, 14, 38, 0, 7, 5, 50, 43, 0, 26, 10, 44, 35, 0, 12, 31, 22, 0, 18, 40, 0, 45, 3, 0, 9, 33, 0, 0, 0, 0]"
"[45, 10, 22, 15, 26, 0, 40, 34, 30, 18, 32, 9, 0, 6, 27, 17, 0, 33, 49, 39, 4, 46, 3, 35, 0, 11, 8, 38, 21, 41, 0, 37, 29, 16, 48, 0, 7, 44, 2, 0, 5, 25, 28, 42, 23, 0, 24, 43, 12, 36, 0, 50, 31, 47, 14, 0, 20, 19, 0, 13, 0, 1, 0, 0, 0]"
"[21, 7, 40, 26, 17, 0, 38, 24, 43, 23, 34, 45, 0, 22, 2, 13, 27, 11, 35, 0, 8, 15, 25, 14, 39, 30, 19, 0, 33, 16, 48, 29, 28, 0, 12, 42, 49, 47, 0, 36, 46, 50, 0, 20, 31, 37, 0, 10, 1, 4, 6, 0, 5, 44, 41, 3, 18, 0, 32, 9, 0, 0, 0, 0, 0]"
