"[33, 32, 28, 1, 2, 0, 26, 19, 45, 20, 8, 7, 0, 9, 14, 47, 38, 6, 48, 0, 17, 24, 34, 43, 31, 0, 10, 30, 23, 39, 44, 3, 0, 40, 49, 16, 21, 18, 13, 0, 4, 50, 25, 41, 27, 0, 36, 35, 0, 5, 22, 11, 29, 42, 0, 15, 12, 0, 46, 37, 0, 0, 0, 0, 0]"
"[1, 10, 24, 38, 15, 0, 26, 2, 42, 12, 23, 5, 0, 7, 37, 30, 11, 0, 8, 45, 28, 16, 0, 35, 48, 36, 6, 49, 0, 32, 47, 25, 14, 0, 27, 46, 31, 19, 0, 34, 41, 9, 0, 22, 40, 33, 0, 29, 20, 21, 39, 0, 44, 0, 3, 43, 4, 17, 0, 50, 13, 0, 18, 0, 0]"
"[40, 1, 12, 20, 4, 49, 8, 0, 19, 33, 50, 6, 47, 0, 3, 18, 21, 43, 29, 44, 15, 0, 45, 35, 13, 48, 38, 0, 39, 36, 34, 27, 26, 0, 32, 16, 11, 46, 0, 30, 2, 37, 23, 24, 41, 0, 28, 22, 10, 0, 7, 25, 31, 5, 0, 9, 0, 42, 14, 17, 0, 0, 0, 0, 0]"
"[19, 1, 15, 40, 28, 0, 34, 17, 45, 18, 6, 16, 0, 42, 4, 8, 31, 20, 0, 5, 2, 48, 13, 0, 14, 23, 44, 22, 33, 24, 0, 38, 9, 7, 41, 0, 50, 30, 12, 32, 26, 0, 37, 21, 43, 0, 49, 36, 47, 10, 25, 11, 0, 46, 3, 27, 39, 29, 0, 35, 0, 0, 0, 0, 0]"
"[4, 10, 14, 33, 40, 49, 0, 25, 46, 20, 23, 26, 47, 18, 0, 8, 5, 32, 29, 27, 0, 39, 13, 1, 21, 48, 0, 30, 7, 11, 35, 19, 0, 42, 34, 12, 45, 31, 0, 6, 38, 9, 37, 36, 0, 16, 3, 43, 0, 17, 41, 2, 22, 44, 24, 0, 50, 15, 0, 28, 0, 0, 0, 0, 0]"
"[28, 34, 24, 33, 30, 5, 0, 19, 7, 18, 42, 25, 0, 26, 2, 22, 49, 13, 0, 47, 37, 17, 27, 32, 12, 23, 0, 11, 15, 50, 21, 0, 29, 3, 1, 45, 0, 4, 8, 9, 0, 20, 35, 41, 0, 43, 38, 14, 10, 16, 0, 6, 44, 39, 40, 31, 0, 36, 46, 0, 48, 0, 0, 0, 0]"
"[19, 46, 25, 27, 18, 44, 10, 0, 50, 39, 38, 49, 0, 3, 26, 13, 28, 30, 47, 0, 24, 34, 40, 17, 0, 31, 45, 8, 32, 7, 21, 0, 41, 11, 12, 35, 0, 1, 20, 37, 36, 0, 16, 29, 0, 4, 48, 6, 23, 2, 5, 0, 14, 33, 43, 42, 0, 15, 22, 0, 9, 0, 0, 0, 0]"
"[20, 11, 16, 29, 0, 36, 2, 32, 14, 41, 13, 0, 19, 30, 24, 38, 0, 27, 23, 1, 25, 5, 47, 17, 6, 0, 37, 42, 8, 39, 15, 49, 0, 4, 7, 48, 50, 43, 0, 28, 46, 34, 0, 12, 21, 0, 26, 10, 44, 35, 0, 18, 31, 22, 0, 45, 40, 0, 9, 3, 0, 33, 0, 0, 0]"
"[45, 10, 22, 15, 26, 0, 40, 34, 30, 18, 32, 9, 0, 6, 27, 17, 0, 33, 49, 39, 4, 46, 3, 35, 36, 0, 37, 29, 16, 48, 0, 11, 8, 38, 21, 41, 0, 7, 44, 2, 0, 5, 25, 28, 42, 23, 0, 24, 43, 12, 0, 50, 19, 14, 0, 20, 47, 0, 13, 0, 31, 0, 1, 0, 0]"
"[21, 7, 40, 26, 17, 45, 0, 22, 2, 13, 27, 11, 35, 0, 38, 24, 43, 23, 34, 0, 8, 15, 25, 14, 39, 30, 19, 0, 33, 32, 31, 47, 0, 12, 42, 49, 46, 50, 0, 36, 0, 20, 0, 10, 16, 48, 29, 28, 0, 5, 44, 41, 3, 0, 1, 4, 37, 0, 9, 6, 0, 18, 0, 0, 0]"
